ticker,keyword,category,source
AAON,AAON Inc. Common Stock,company,nasdaq
ACHR,Archer Aviation Inc. Class A Common Stock,company,nasdaq
AGCO,AGCO Corporation Common Stock,company,nasdaq
AIR,AAR Corp. Common Stock,company,nasdaq
AIRI,Air Industries Group Common Stock,company,nasdaq
AIRJ,AirJoule Technologies Corporation Class A Common Stock,company,nasdaq
AIRJW,AirJoule Technologies Corporation Warrant,company,nasdaq
AIRO,AIRO Group Holdings Inc. Common Stock,company,nasdaq
ALG,Alamo Group Inc. Common Stock,company,nasdaq
ALTG,Alta Equipment Group Inc. Class A Common Stock,company,nasdaq
AME,AMETEK Inc.,company,nasdaq
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,company,nasdaq
ATRO,Astronics Corporation Common Stock,company,nasdaq
AVAV,AeroVironment Inc. Common Stock,company,nasdaq
AXON,Axon Enterprise Inc. Common Stock,company,nasdaq
BA,Boeing Company (The) Common Stock,company,nasdaq
BC,Brunswick Corporation Common Stock,company,nasdaq
BMI,Badger Meter Inc. Common Stock,company,nasdaq
BNC,CEA Industries Inc. Common Stock,company,nasdaq
BWXT,BWX Technologies Inc. Common Stock,company,nasdaq
CARR,Carrier Global Corporation Common Stock ,company,nasdaq
CGNX,Cognex Corporation Common Stock,company,nasdaq
CLIR,ClearSign Technologies Corporation Common Stock (DE),company,nasdaq
CMI,Cummins Inc. Common Stock,company,nasdaq
CODA,Coda Octopus Group Inc. Common stock,company,nasdaq
CUB,Lionheart Holdings Class A Ordinary Shares,company,nasdaq
CVR,Chicago Rivet & Machine Co. Common Stock,company,nasdaq
CVU,CPI Aerostructures Inc. Common Stock,company,nasdaq
DCO,Ducommun Incorporated Common Stock,company,nasdaq
DE,Deere & Company Common Stock,company,nasdaq
DHR,Danaher Corporation Common Stock,company,nasdaq
DOV,Dover Corporation Common Stock,company,nasdaq
DXPE,DXP Enterprises Inc. Common Stock,company,nasdaq
EKSO,Ekso Bionics Holdings Inc. Common Stock,company,nasdaq
